,Desa/Kelurahan,Desa/Kelurahan Terluar,Kabupaten/Kota,Kecamatan,Ketinggian DPL (M),Koordinat Bujur,Koordinat Lintang,Lokasi,Luas (Ha),Provinsi,Status,Tipologi,_id
0,SEMELAGI BESAR,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","109,047260","1,002419",DESA SEMELAGI BESAR KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.572,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,1
1,SUNGAI DAUN,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","109,039646","1,013922",DESA SUNGAI DAUN KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.090,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,2
2,SUNGAI RUSA,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","109,018043","1,021554",DESA SUNGAI RUSA KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"975,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,3
3,PANGKALAN BEMBAN,Tidak,KABUPATEN SAMBAS,SELAKAU,"8,00","109,050941","1,041183",DESA PANGKALAN BEMBAN KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"6.700,00",KALIMANTAN BARAT,DESA,Kehutanan,4
4,SUNGAI NYIRIH,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","108,987724","1,045459",DESA SUNGAI NYIRIH KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,5
5,KUALA,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","108,962936","1,073380",DESA KUALA KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"650,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,6
6,PARIT BARU,Tidak,KABUPATEN SAMBAS,SELAKAU,"1,00","108,989181","1,074430",DESA PARIT BARU KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.175,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,7
7,TWI MENTIBAR,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","0,000000","0,000000",DESA TWI MENTIBAR KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.870,00",KALIMANTAN BARAT,DESA,Kehutanan,8
8,BENTUNAI,Tidak,KABUPATEN SAMBAS,SELAKAU,"1.400,00","109,038887","1,070577",DESA BENTUNAI KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.600,00",KALIMANTAN BARAT,DESA,Persawahan,9
9,PARIT KONGSI,Tidak,KABUPATEN SAMBAS,SELAKAU,"4,00","109,021820","1,057837",DESA PARIT KONGSI KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"929,00",KALIMANTAN BARAT,DESA,Kehutanan,10
10,GAYUNG BERSAMBUT,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","0,000000","0,000000",DESA GAYUNG BERSAMBUT KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"488,00",KALIMANTAN BARAT,DESA,Kehutanan,11
11,GELIK,Tidak,KABUPATEN SAMBAS,SELAKAU TIMUR,"11.000,00","109,063713","1,066929",DESA GELIK KECAMATAN SELAKAU TIMUR KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"979,00",KALIMANTAN BARAT,DESA,Persawahan,12
12,SERANGGAM,Tidak,KABUPATEN SAMBAS,SELAKAU TIMUR,"1,00","109,083973","1,066022",DESA SERANGGAM KECAMATAN SELAKAU TIMUR KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"3.260,00",KALIMANTAN BARAT,DESA,Persawahan,13
13,SELAKAU TUA,Tidak,KABUPATEN SAMBAS,SELAKAU TIMUR,"0,00","109,107601","1,059308",DESA SELAKAU TUA KECAMATAN SELAKAU TIMUR KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"6.439,00",KALIMANTAN BARAT,DESA,Persawahan,14
14,BUDUK SEMPADANG,Tidak,KABUPATEN SAMBAS,SELAKAU TIMUR,"4,50","109,180927","1,023572",DESA BUDUK SEMPADANG KECAMATAN SELAKAU TIMUR KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"15.650,00",KALIMANTAN BARAT,DESA,Kehutanan,15
15,PERAPAKAN,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"0,00","109,026115","1,164923",DESA PERAPAKAN KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.780,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,16
16,JELUTUNG,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"1.000,00","108,999412","1,136961",DESA JELUTUNG KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.616,00",KALIMANTAN BARAT,DESA,Persawahan,17
17,HARAPAN,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"2,00","108,983331","11,760240",DESA HARAPAN KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"407,56",KALIMANTAN BARAT,DESA,Persawahan,18
18,PENJAJAP,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"5,00","108,990638","1,172368",DESA PENJAJAP KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"450,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,19
19,PEMANGKAT KOTA,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"0,00","108,946163","1,141837",DESA PEMANGKAT KOTA KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"21,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,20
20,SEBATUAN,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"0,00","0,000000","0,000000",DESA SEBATUAN KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"27,25",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,21
21,GUGAH SEJAHTERA,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"0,00","0,000000","0,000000",DESA GUGAH SEJAHTERA KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"210,00",KALIMANTAN BARAT,DESA,Persawahan,22
22,LONAM,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"45,00","61,713452","18,059404",DESA LONAM KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.200,00",KALIMANTAN BARAT,DESA,Persawahan,23
23,SEBURING,Tidak,KABUPATEN SAMBAS,SEMPARUK,"4,00","109,049347","1,123050",DESA SEBURING KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.914,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,24
24,SEPADU,Tidak,KABUPATEN SAMBAS,SEMPARUK,"0,00","109,071231","1,124895",DESA SEPADU KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.772,25",KALIMANTAN BARAT,DESA,Persawahan,25
25,SEPINGGAN,Tidak,KABUPATEN SAMBAS,SEMPARUK,"4,00","109,090313","1,128299",DESA SEPINGGAN KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.460,00",KALIMANTAN BARAT,DESA,Persawahan,26
26,SEMPARUK,Tidak,KABUPATEN SAMBAS,SEMPARUK,"3,00","109,074207","1,180348",DESA SEMPARUK KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.300,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,27
27,SINGA RAYA,Tidak,KABUPATEN SAMBAS,SEMPARUK,"2,00","109,051956","1,172452",DESA SINGA RAYA KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"17.560,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,28
28,PARIT BARU,Tidak,KABUPATEN SAMBAS,SALATIGA,"4.559,00","108,969428","1,111853",DESA PARIT BARU KECAMATAN SALATIGA KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.500,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,29
29,SALATIGA,Tidak,KABUPATEN SAMBAS,SALATIGA,"50,00","109,005001","1,108506",DESA SALATIGA KECAMATAN SALATIGA KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.462,23",KALIMANTAN BARAT,DESA,Persawahan,30
30,SUNGAI TOMAN,Tidak,KABUPATEN SAMBAS,SALATIGA,"0,00","109,029485","1,119095",DESA SUNGAI TOMAN KECAMATAN SALATIGA KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"815,00",KALIMANTAN BARAT,DESA,Persawahan,31
31,SERUMPUN,,KABUPATEN SAMBAS,SALATIGA,"0,00","109,071502","1,093629",DESA SERUMPUN KECAMATAN SALATIGA KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,32
32,SERUNAI,Tidak,KABUPATEN SAMBAS,SALATIGA,"0,00","109,041668","1,123072",DESA SERUNAI KECAMATAN SALATIGA KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,33
33,SERET AYON,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,323085","1,038055",DESA SERET AYON KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"6.660,40",KALIMANTAN BARAT,DESA,Persawahan,34
34,MARIBAS,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,274517","1,102727",DESA MARIBAS KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,35
35,BATU MAKJAGE,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,166191","1,141911",DESA BATU MAKJAGE KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.134,00",KALIMANTAN BARAT,DESA,Persawahan,36
36,BUKIT SIGOLER,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,190886","1,096677",DESA BUKIT SIGOLER KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"32.360,00",KALIMANTAN BARAT,DESA,Persawahan,37
37,SERINDANG,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,127284","1,123464",DESA SERINDANG KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.082,00",KALIMANTAN BARAT,DESA,Persawahan,38
38,MATANG LABONG,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,117370","1,142636",DESA MATANG LABONG KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.520,00",KALIMANTAN BARAT,DESA,Persawahan,39
39,MAKTANGGUK,Tidak,KABUPATEN SAMBAS,TEBAS,"2,00","1,090626","1,140220",DESA MAKTANGGUK KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.362,00",KALIMANTAN BARAT,DESA,Persawahan,40
40,SEGEDONG,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,092933","1,183713",DESA SEGEDONG KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"633,80",KALIMANTAN BARAT,DESA,Persawahan,41
41,PUSAKA,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,100689","1,186449",DESA PUSAKA KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.025,00",KALIMANTAN BARAT,DESA,Persawahan,42
42,MENSERE,Tidak,KABUPATEN SAMBAS,TEBAS,"10,00","109,109577","1,201978",DESA MENSERE KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"450,00",KALIMANTAN BARAT,DESA,Persawahan,43
43,SUNGAI KELAMBU,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,121238","1,172325",DESA SUNGAI KELAMBU KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"510,00",KALIMANTAN BARAT,DESA,Persawahan,44
44,SERUMPUN BULUH,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,132755","1,174563",DESA SERUMPUN BULUH KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"562,00",KALIMANTAN BARAT,DESA,Persawahan,45
45,PANGKALAN KONGSI,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,141174","1,159916",DESA PANGKALAN KONGSI KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.050,00",KALIMANTAN BARAT,DESA,Persawahan,46
46,DUNGUN PERAPAKAN,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,165778","1,187375",DESA DUNGUN PERAPAKAN KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"600,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,47
47,TEBAS SUNGAI,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,163856","1,199826",DESA TEBAS SUNGAI KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.000,00",KALIMANTAN BARAT,DESA,Persawahan,48
48,SEJIRAM,Tidak,KABUPATEN SAMBAS,TEBAS,"25,00","109,171467","1,206231",DESA SEJIRAM KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"450,00",KALIMANTAN BARAT,DESA,Persawahan,49
49,SEBERKAT,Tidak,KABUPATEN SAMBAS,TEBAS,"30,00","109,201610","1,195198",DESA SEBERKAT KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"5.928,00",KALIMANTAN BARAT,DESA,Perladangan,50
50,SEMPALAI,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,163831","1,247074",DESA SEMPALAI KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"573,00",KALIMANTAN BARAT,DESA,Persawahan,51
51,BEKUT,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,163071","1,235095",DESA BEKUT KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"479,54",KALIMANTAN BARAT,DESA,Persawahan,52
52,MAKRAMPAI,Tidak,KABUPATEN SAMBAS,TEBAS,"4,00","109,154625","1,226373",DESA MAKRAMPAI KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"425,00",KALIMANTAN BARAT,DESA,Persawahan,53
53,TEBAS KUALA,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,139410","1,224736",DESA TEBAS KUALA KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"383,00",KALIMANTAN BARAT,DESA,Perindustrian/Jasa,54
54,MEKAR SEKUNTUM,Tidak,KABUPATEN SAMBAS,TEBAS,"4,00","109,134164","1,218340",DESA MEKAR SEKUNTUM KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"657,62",KALIMANTAN BARAT,DESA,Persawahan,55
55,SEGARAU PARIT,Tidak,KABUPATEN SAMBAS,TEBAS,"0,00","109,109661","1,256342",DESA SEGARAU PARIT KECAMATAN TEBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.774,50",KALIMANTAN BARAT,DESA,Persawahan,56
56,MATANG SEGARAU,Tidak,KABUPATEN SAMBAS,TEKARANG,"300,00","109,116791","1,263185",DESA MATANG SEGARAU KECAMATAN TEKARANG KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.384,00",KALIMANTAN BARAT,DESA,Persawahan,57
57,RAMBAYAN,Tidak,KABUPATEN SAMBAS,TEKARANG,"0,00","109,135795","1,262000",DESA RAMBAYAN KECAMATAN TEKARANG KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.330,00",KALIMANTAN BARAT,DESA,Perladangan,58
58,SARI MAKMUR,Tidak,KABUPATEN SAMBAS,TEKARANG,"0,00","109,118244","1,293086",DESA SARI MAKMUR KECAMATAN TEKARANG KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"925,00",KALIMANTAN BARAT,DESA,Persawahan,59
59,TEKARANG,Tidak,KABUPATEN SAMBAS,TEKARANG,"0,00","109,140815","1,275001",DESA TEKARANG KECAMATAN TEKARANG KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"954,00",KALIMANTAN BARAT,DESA,Persawahan,60
60,SEMPADIAN,Tidak,KABUPATEN SAMBAS,TEKARANG,"0,00","109,137966","1,296234",DESA SEMPADIAN KECAMATAN TEKARANG KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.420,00",KALIMANTAN BARAT,DESA,Persawahan,61
61,CEPALA,Tidak,KABUPATEN SAMBAS,TEKARANG,"0,00","109,141397","1,315078",DESA CEPALA KECAMATAN TEKARANG KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"900,00",KALIMANTAN BARAT,DESA,Persawahan,62
62,MERUBUNG,Tidak,KABUPATEN SAMBAS,TEKARANG,"8,00","109,165522","1,312957",DESA MERUBUNG KECAMATAN TEKARANG KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.678,00",KALIMANTAN BARAT,DESA,Persawahan,63
63,SUNGAI RAMBAH,Tidak,KABUPATEN SAMBAS,SAMBAS,"18,00","109,289085","1,286730",DESA SUNGAI RAMBAH KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"3.020,00",KALIMANTAN BARAT,DESA,Perladangan,64
64,GAPURA,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,237560","1,332733",DESA GAPURA KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"27,26",KALIMANTAN BARAT,DESA,Perladangan,65
65,KARTIASA,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,255188","1,354236",DESA KARTIASA KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.500,00",KALIMANTAN BARAT,DESA,Perladangan,66
66,SAING RAMBI,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,282573","1,347634",DESA SAING RAMBI KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"3.248,00",KALIMANTAN BARAT,DESA,Persawahan,67
67,LUMBANG,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,309742","1,288873",DESA LUMBANG KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"4.000,00",KALIMANTAN BARAT,DESA,Persawahan,68
68,DURIAN,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,309582","1,299383",DESA DURIAN KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"135,00",KALIMANTAN BARAT,DESA,Perindustrian/Jasa,69
69,PASAR MELAYU,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,324705","1,303236",DESA PASAR MELAYU KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Perindustrian/Jasa,70
70,PENDAWAN,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,331524","1,306913",DESA PENDAWAN KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"84,00",KALIMANTAN BARAT,DESA,Perindustrian/Jasa,71
71,TANJUNG BUGIS,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,345959","1,315012",DESA TANJUNG BUGIS KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"246,00",KALIMANTAN BARAT,DESA,Perindustrian/Jasa,72
72,LUBUK DAGANG,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,334701","1,322678",DESA LUBUK DAGANG KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"3.115,00",KALIMANTAN BARAT,DESA,Perladangan,73
73,DALAM KAUM,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,344238","1,330501",DESA DALAM KAUM KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"3.200,00",KALIMANTAN BARAT,DESA,Pertambangan,74
74,TANJUNG MEKAR,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,327221","1,338049",DESA TANJUNG MEKAR KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"360,00",KALIMANTAN BARAT,DESA,Perindustrian/Jasa,75
75,TUMUK MANGGIS,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,316349","1,325907",DESA TUMUK MANGGIS KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"89,00",KALIMANTAN BARAT,DESA,Perindustrian/Jasa,76
76,JAGUR,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,297740","1,342866",DESA JAGUR KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"220,00",KALIMANTAN BARAT,DESA,Perindustrian/Jasa,77
77,LORONG,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,283737","1,345277",DESA LORONG KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"792,00",KALIMANTAN BARAT,DESA,Persawahan,78
78,SEBAYAN,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,318420","1,358111",DESA SEBAYAN KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.120,00",KALIMANTAN BARAT,DESA,Persawahan,79
79,SUMBER HARAPAN,Tidak,KABUPATEN SAMBAS,SAMBAS,"0,00","109,353497","1,349098",DESA SUMBER HARAPAN KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.256,00",KALIMANTAN BARAT,DESA,Perladangan,80
80,SEMANGAU,Tidak,KABUPATEN SAMBAS,SAMBAS,"7,00","109,201538","1,299854",DESA SEMANGAU KECAMATAN SAMBAS KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.773,33",KALIMANTAN BARAT,DESA,Persawahan,81
81,TEBUAH ELOK,Tidak,KABUPATEN SAMBAS,SUBAH,"25,00","109,459640","1,065682",DESA TEBUAH ELOK KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"9.378,00",KALIMANTAN BARAT,DESA,Perladangan,82
82,MENSADE,Tidak,KABUPATEN SAMBAS,SUBAH,"23,00","109,501274","1,133449",DESA MENSADE KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.300,00",KALIMANTAN BARAT,DESA,Perladangan,83
83,SUNGAI SAPA`,Tidak,KABUPATEN SAMBAS,SUBAH,"0,00","109,483067","1,229645",DESA SUNGAI SAPA` KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"11.642,00",KALIMANTAN BARAT,DESA,Perladangan,84
84,SEMPURNA,Tidak,KABUPATEN SAMBAS,SUBAH,"30.000,00","109,500004","1,199084",DESA SEMPURNA KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.178,00",KALIMANTAN BARAT,DESA,Perladangan,85
85,BUKIT MULYA,Tidak,KABUPATEN SAMBAS,SUBAH,"0,00","109,478111","1,238962",DESA BUKIT MULYA KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.125,00",KALIMANTAN BARAT,DESA,Perladangan,86
86,SUNGAI DEDEN,Tidak,KABUPATEN SAMBAS,SUBAH,"0,00","109,480533","1,285469",DESA SUNGAI DEDEN KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"4.676,00",KALIMANTAN BARAT,DESA,Perladangan,87
87,SABUNG,Tidak,KABUPATEN SAMBAS,SUBAH,"27,00","109,386563","1,264781",DESA SABUNG KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"10.276,00",KALIMANTAN BARAT,DESA,Perladangan,88
88,MUKTI RAHARJA,Tidak,KABUPATEN SAMBAS,SUBAH,"0,00","109,360756","1,270645",DESA MUKTI RAHARJA KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.502,00",KALIMANTAN BARAT,DESA,Perladangan,89
89,BALAI GEMURUH,Tidak,KABUPATEN SAMBAS,SUBAH,"0,00","115,522000","0,000000",DESA BALAI GEMURUH KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"109.472,84",KALIMANTAN BARAT,DESA,Perladangan,90
90,MADAK,Tidak,KABUPATEN SAMBAS,SUBAH,"0,00","109,309486","1,184514",DESA MADAK KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"13.114,00",KALIMANTAN BARAT,DESA,Perladangan,91
91,KARABAN JAYA,Tidak,KABUPATEN SAMBAS,SUBAH,"0,00","0,000000","0,000000",DESA KARABAN JAYA KECAMATAN SUBAH KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"13.000,00",KALIMANTAN BARAT,DESA,Perladangan,92
92,SEBAWI,Tidak,KABUPATEN SAMBAS,SEBAWI,"0,00","109,230728","1,240060",DESA SEBAWI KECAMATAN SEBAWI KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"4.500,00",KALIMANTAN BARAT,DESA,Persawahan,93
93,SEMPALAI SEBEDANG,Tidak,KABUPATEN SAMBAS,SEBAWI,"0,00","109,185768","1,250027",DESA SEMPALAI SEBEDANG KECAMATAN SEBAWI KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"3.200,00",KALIMANTAN BARAT,DESA,Persawahan,94
94,SEPUK TANJUNG,Tidak,KABUPATEN SAMBAS,SEBAWI,"0,00","109,196056","1,261161",DESA SEPUK TANJUNG KECAMATAN SEBAWI KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.500,00",KALIMANTAN BARAT,DESA,Persawahan,95
95,SEBANGUN,Tidak,KABUPATEN SAMBAS,SEBAWI,"2,00","109,191654","1,293221",DESA SEBANGUN KECAMATAN SEBAWI KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"128.700,00",KALIMANTAN BARAT,DESA,Persawahan,96
96,TEMPATAN,Tidak,KABUPATEN SAMBAS,SEBAWI,"0,00","109,212871","1,314001",DESA TEMPATAN KECAMATAN SEBAWI KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"922,00",KALIMANTAN BARAT,DESA,Perladangan,97
97,TEBING BATU,Tidak,KABUPATEN SAMBAS,SEBAWI,"15,00","109,247997","1,254115",DESA TEBING BATU KECAMATAN SEBAWI KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.460,00",KALIMANTAN BARAT,DESA,Persawahan,98
